,date,weekday,max,min,cloudiness,rain,rain_probability,wind_speedy,description,condition
0,14/03,Qui,32,20,2.0,0.0,1,3.47 km/h,Tempo limpo,clear_day
1,15/03,Sex,33,21,0.0,0.0,0,4.3 km/h,Tempo limpo,clear_day
2,16/03,Sáb,34,22,25.0,0.0,4,3.13 km/h,Parcialmente nublado,cloud
3,17/03,Dom,33,23,6.0,0.0,19,4.45 km/h,Tempo limpo,clear_day
4,18/03,Seg,32,23,90.0,2.38,98,4.96 km/h,Chuvas esparsas,rain
5,19/03,Ter,32,23,63.0,8.21,98,4.54 km/h,Chuva,rain
6,20/03,Qua,33,22,16.0,2.47,86,4.61 km/h,Chuvas esparsas,rain
7,21/03,Qui,28,20,70.0,4.29,96,5.82 km/h,Chuva,rain
8,22/03,Sex,20,17,100.0,3.72,85,5.06 km/h,Chuvas esparsas,rain
9,23/03,Sáb,21,17,100.0,0.43,37,3.72 km/h,Chuvas esparsas,rain
